,year,avgTemp,maxTemp,minTemp,rainFall,avgPrice
0,2013-1-2,6.2,10.9,1.3,0,2434
1,2013-1-3,2.3,5.5,0.1,0,2501
2,2013-1-4,3.4,6.7,0.3,0,2483
3,2013-1-7,6.6,8.6,3.8,0,2491
4,2013-1-8,7.9,10.8,5.1,0,2491
5,2013-1-9,5,8.9,1.7,0,2491
6,2013-1-10,4.6,7.4,2.1,0,2478
7,2013-1-11,6.9,9.8,4.2,0,2486
8,2013-1-14,9.7,14.3,6.1,0,2486
9,2013-1-15,8.6,11.4,4.1,0,2491
10,2013-1-16,7.1,11.1,4.1,0,2491
11,2013-1-17,4,7.1,1.3,0,2551
12,2013-1-18,4.5,9.4,0.1,0,2551
13,2013-1-21,13.3,16,9.9,37.5,2565
14,2013-1-22,9.6,12.2,8.3,0,2565
15,2013-1-23,7.7,10.8,4.6,0,2565
16,2013-1-24,6.6,9.9,3.7,0,2545
17,2013-1-25,4,7.4,2.2,0,2529
18,2013-1-28,6,10.9,1,0,2541
19,2013-1-29,8.3,12.1,3.9,0,2532
20,2013-1-30,10.9,15.2,6.2,0,2532
21,2013-1-31,13.7,16.5,9.7,0.2,2515
22,2013-2-1,14.9,16.6,12.6,22,2520
23,2013-2-4,12.7,18.9,8.3,2,2431
24,2013-2-5,9.6,10.8,6.9,10.5,2424
25,2013-2-6,8.2,10.7,5.7,0,2400
26,2013-2-7,3.3,5.9,-0.9,0,2438
27,2013-2-8,1.5,4.9,-1.1,0,2463
28,2013-2-12,7.1,12.4,4.2,0,2475
29,2013-2-13,6,9.4,2.2,0,2499
30,2013-2-14,7.6,9.3,5.6,3,2518
31,2013-2-15,7.6,12.8,3.6,0.5,2529
32,2013-2-18,10.2,14.3,6.1,7.5,2535
33,2013-2-19,5.8,8.4,2.9,6,2547
34,2013-2-20,6.2,9.7,2.9,0,2583
35,2013-2-21,7.5,11.5,3.5,0,2737
36,2013-2-22,9,14.3,6.4,0,2752
37,2013-2-25,10.3,13.2,6.5,0,2765
38,2013-2-26,10.9,12.7,9.2,2.5,2761
39,2013-2-27,12.9,15.7,10.4,0,2761
40,2013-2-28,14.2,17.8,8,0,2710
41,2013-3-4,9.9,15,4,0,3094
